TRANS_NUMBER,TRANS_ENTRY_SEQ_ID,TRANS_TYPE,TRANS_DATE,SALES_ORDER_NUMBER,PRODUCT_ID,TRANS_ENTRY_AMOUNT,POSTED_DATE,INVOICE_ID,ROLE_TYPE_ID,ORG_PARTY_ID,PARTY_ID,IS_DEBIT_CREDIT,GL_ACCOUNT,IS_POSTED,GL_FISCAL_TYPE_ID,TRANS_DESCRIPTION,TRANS_TYPE_DESCRIPTION,INVENTORY_ITEM_ID,PRODUCT_NAME,CURRENCY_UOM_ID,GL_ACCOUNT_TYPE_ID,ACCOUNT_CODE,ACCOUNT_NAME,RECONCILE_STATUS_ID,GL_ACCOUNT_CLASS_ID,GROUP_NAME,DOCUMENT_TYPE,BATCH_ID,RATE_TYPE_ID,EXCHANGE_RATE,U_OF_M,SITE_ID,QUANTITY,UNIT_PRICE
38268,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44322,M-5-P-0-1-0,4757.50,09/30/18,32858,BILL_TO_CUSTOMER,Company,261,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled US",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,865,5.50
38268,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44322,M-5-P-0-2-0,676.50,09/30/18,32858,BILL_TO_CUSTOMER,Company,261,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,123,5.50
38268,3,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44322,M-3-P-0-2-0,5.50,09/30/18,32858,BILL_TO_CUSTOMER,Company,261,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 3 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,1,5.50
38268,4,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44322,M-5-P-0-3-0,16.50,09/30/18,32858,BILL_TO_CUSTOMER,Company,261,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled VER",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,3,5.50
38269,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44323,M-5-P-0-1-0,598.00,09/30/18,32859,BILL_TO_CUSTOMER,Company,35,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled US",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,115,5.20
38269,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44323,M-5-P-0-2-0,120.12,09/30/18,32859,BILL_TO_CUSTOMER,Company,35,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,22,5.46
38269,3,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44323,M-5-P-0-3-0,7.50,09/30/18,32859,BILL_TO_CUSTOMER,Company,35,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled VER",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,1,7.50
38270,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44324,M-5-P-0-1-0,259.86,09/30/18,32860,BILL_TO_CUSTOMER,Company,66,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled US",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,142,1.83
38271,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44325,M-5-P-0-1-0,514.50,09/30/18,32861,BILL_TO_CUSTOMER,Company,842,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled US",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,49,10.50
38271,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44325,M-5-P-0-2-0,378.00,09/30/18,32861,BILL_TO_CUSTOMER,Company,842,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,36,10.50
38271,3,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44325,M-5-P-0-3-0,210.00,09/30/18,32861,BILL_TO_CUSTOMER,Company,842,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled VER",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,20,10.50
38272,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44326,M-5-P-0-1-0,39.00,09/30/18,32862,BILL_TO_CUSTOMER,Company,31,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled US",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,6,6.50
38272,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44326,M-5-P-0-2-0,6.50,09/30/18,32862,BILL_TO_CUSTOMER,Company,31,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,1,6.50
38272,3,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44326,M-5-P-0-3-0,34.00,09/30/18,32862,BILL_TO_CUSTOMER,Company,31,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled VER",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,4,8.50
38273,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44327,M-5-P-0-1-0,345.00,09/30/18,32863,BILL_TO_CUSTOMER,Company,400,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled US",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,46,7.50
38273,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44327,M-5-P-0-2-0,472.50,09/30/18,32863,BILL_TO_CUSTOMER,Company,400,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,63,7.50
38273,3,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44327,M-5-P-0-3-0,273.00,09/30/18,32863,BILL_TO_CUSTOMER,Company,400,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled VER",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,26,10.50
38274,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44328,M-5-P-0-1-0,126.00,09/30/18,32864,BILL_TO_CUSTOMER,Company,260,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled US",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,12,10.50
38274,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44328,M-5-P-0-2-0,63.00,09/30/18,32864,BILL_TO_CUSTOMER,Company,260,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,6,10.50
38275,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44329,M-5-P-0-1-0,180.00,09/30/18,32865,BILL_TO_CUSTOMER,Company,850,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled US",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,24,7.50
38275,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44329,M-5-P-0-2-0,180.00,09/30/18,32865,BILL_TO_CUSTOMER,Company,850,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,25,7.20
38276,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44330,M-5-P-0-1-0,1132.50,09/30/18,32866,BILL_TO_CUSTOMER,Company,36,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled US",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,151,7.50
38276,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44330,M-5-P-0-2-0,780.00,09/30/18,32866,BILL_TO_CUSTOMER,Company,36,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,104,7.50
38276,3,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44330,M-5-P-0-3-0,1123.20,09/30/18,32866,BILL_TO_CUSTOMER,Company,36,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled VER",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,108,10.40
38277,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44331,M-5-P-0-1-0,156.00,09/30/18,32867,BILL_TO_CUSTOMER,Company,31,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled US",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,24,6.50
38277,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44331,M-5-P-0-2-0,58.50,09/30/18,32867,BILL_TO_CUSTOMER,Company,31,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,9,6.50
38278,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44332,M-5-P-0-1-0,416.06,09/30/18,32868,BILL_TO_CUSTOMER,Company,161,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled US",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,71,5.86
38278,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44332,M-5-P-0-2-0,403.20,09/30/18,32868,BILL_TO_CUSTOMER,Company,161,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,64,6.30
38279,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44333,M-5-P-0-1-0,1387.50,09/30/18,32869,BILL_TO_CUSTOMER,Company,540,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled US",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,185,7.50
38279,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44333,M-5-P-0-2-0,660.00,09/30/18,32869,BILL_TO_CUSTOMER,Company,540,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,88,7.50
38280,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44334,M-5-P-0-1-0,52.50,09/30/18,32870,BILL_TO_CUSTOMER,Company,702,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled US",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,7,7.50
38280,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44334,M-5-P-0-2-0,52.50,09/30/18,32870,BILL_TO_CUSTOMER,Company,702,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,7,7.50
38281,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44335,M-5-P-0-1-0,409.50,09/30/18,32871,BILL_TO_CUSTOMER,Company,53,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled US",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,63,6.50
38281,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44335,M-5-P-0-2-0,279.50,09/30/18,32871,BILL_TO_CUSTOMER,Company,53,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,43,6.50
38281,3,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44335,M-5-P-0-3-0,10.50,09/30/18,32871,BILL_TO_CUSTOMER,Company,53,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled VER",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,1,10.50
38282,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44336,M-5-P-0-1-0,60.00,09/30/18,32872,BILL_TO_CUSTOMER,Company,295,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled US",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,8,7.50
38282,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44336,M-5-P-0-2-0,255.00,09/30/18,32872,BILL_TO_CUSTOMER,Company,295,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,34,7.50
38282,3,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44336,M-5-P-0-3-0,21.00,09/30/18,32872,BILL_TO_CUSTOMER,Company,295,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled VER",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,2,10.50
38283,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44337,M-5-P-0-1-0,65.00,09/30/18,32873,BILL_TO_CUSTOMER,Company,31,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled US",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,10,6.50
38283,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44337,M-5-P-0-2-0,26.00,09/30/18,32873,BILL_TO_CUSTOMER,Company,31,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,4,6.50
38284,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44338,M-5-P-0-1-0,52.50,09/30/18,32874,BILL_TO_CUSTOMER,Company,731,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled US",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,5,10.50
38284,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44338,M-5-P-0-2-0,42.00,09/30/18,32874,BILL_TO_CUSTOMER,Company,731,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,4,10.50
38285,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44339,M-5-P-0-1-0,73.50,09/30/18,32875,BILL_TO_CUSTOMER,Company,590,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled US",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,7,10.50
38285,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44339,M-5-P-0-2-0,273.00,09/30/18,32875,BILL_TO_CUSTOMER,Company,590,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,26,10.50
38286,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44340,M-5-P-0-1-0,388.50,09/30/18,32876,BILL_TO_CUSTOMER,Company,670,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled US",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,37,10.50
38286,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44340,M-5-P-0-2-0,1480.50,09/30/18,32876,BILL_TO_CUSTOMER,Company,670,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,141,10.50
38287,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44341,M-5-P-0-1-0,480.00,09/30/18,32877,BILL_TO_CUSTOMER,Company,230,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled US",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,64,7.50
38287,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44341,M-5-P-0-3-0,126.00,09/30/18,32877,BILL_TO_CUSTOMER,Company,230,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled VER",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,12,10.50
38287,3,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44341,M-5-P-0-2-0,201.60,09/30/18,32877,BILL_TO_CUSTOMER,Company,230,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,32,6.30
38288,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44342,M-5-P-0-1-0,52.50,09/30/18,32878,BILL_TO_CUSTOMER,Company,812,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled US",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,5,10.50
38288,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44342,M-5-P-0-2-0,63.00,09/30/18,32878,BILL_TO_CUSTOMER,Company,812,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,6,10.50
38289,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44343,M-20-P-0-3-0,12.51,09/30/18,32879,BILL_TO_CUSTOMER,Company,644,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 20MB Pooled LTE",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,9,1.39
38289,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44343,M-5-P-0-1-0,217.47,09/30/18,32879,BILL_TO_CUSTOMER,Company,644,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled US",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,33,6.59
38289,3,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44343,M-5-P-0-2-0,142.50,09/30/18,32879,BILL_TO_CUSTOMER,Company,644,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,19,7.50
38290,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44344,M-5-P-0-1-0,714.00,09/30/18,32880,BILL_TO_CUSTOMER,Company,724,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled US",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,102,7.00
38290,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44344,M-5-P-0-2-0,126.00,09/30/18,32880,BILL_TO_CUSTOMER,Company,724,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,18,7.00
38291,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44345,M-5-P-0-1-0,105.00,09/30/18,32881,BILL_TO_CUSTOMER,Company,872,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled US",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,14,7.50
38291,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44345,M-5-P-0-2-0,210.00,09/30/18,32881,BILL_TO_CUSTOMER,Company,872,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,30,7.00
38292,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44346,M-5-P-0-1-0,75.00,09/30/18,32882,BILL_TO_CUSTOMER,Company,762,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled US",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,10,7.50
38292,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44346,M-5-P-0-2-0,292.50,09/30/18,32882,BILL_TO_CUSTOMER,Company,762,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,39,7.50
38292,3,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44346,M-5-P-0-3-0,42.00,09/30/18,32882,BILL_TO_CUSTOMER,Company,762,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled VER",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,4,10.50
38293,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44347,M-5-P-0-1-0,31.50,09/30/18,32883,BILL_TO_CUSTOMER,Company,726,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled US",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,3,10.50
38293,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44347,M-5-P-0-2-0,42.00,09/30/18,32883,BILL_TO_CUSTOMER,Company,726,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,4,10.50
38293,3,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44347,M-5-P-0-3-0,21.00,09/30/18,32883,BILL_TO_CUSTOMER,Company,726,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled VER",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,2,10.50
38294,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44348,M-5-P-0-3-0,8.50,09/30/18,32884,BILL_TO_CUSTOMER,Company,31,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled VER",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,1,8.50
